2003spr 0.6415 0.6260 0.6640  75.01  76.11  68.96  52.02 0.5637 0.5605 0.5667  94.88  94.41  87.34  73.81 
2003sum 0.5950 0.6007 0.6399  59.22  58.17  53.05  37.23 0.6095 0.6025 0.6541 100.29  99.46  88.66  68.88 
2003fal 0.6322 0.6235 0.6845  85.25  84.38  73.38  57.37 0.5938 0.5751 0.6138  86.55  87.61  78.75  62.48 
0304win 0.6123 0.6215 0.6661  91.33  88.82  79.45  60.16 0.5506 0.5749 0.5928  80.05  76.90  71.96  56.19 
2000sum 0.3791 0.3636 0.4174  70.96  71.25  62.02  47.84 0.4184 0.4263 0.4732 118.80 118.12  99.42  95.48 
2000fal 0.4182 0.4409 0.5044  95.71  94.38  80.85  67.93 0.3879 0.4011 0.4398 104.71 101.65  84.78  85.98 
0001win 0.5194 0.5213 0.5932  98.15  98.18  83.02  68.64 0.3822 0.3901 0.4440  97.18  95.26  79.46  75.24 
2001spr 0.4338 0.4422 0.5170  92.25  90.92  77.19  60.00 0.4607 0.4653 0.4857 106.27 105.60  92.25  82.70 
2001sum 0.4620 0.4708 0.5295  68.29  67.69  60.18  42.53 0.4612 0.4501 0.4750 111.29 111.59 100.07  80.82 
2001fal 0.5303 0.5172 0.5853  90.38  90.48  79.84  62.33 0.5076 0.5160 0.5351  94.97  93.62  84.61  72.79 
0102win 0.5550 0.5546 0.5907  99.10  97.66  87.86  67.23 0.4503 0.4618 0.4916  91.88  90.88  80.92  69.55 
2002spr 0.4357 0.4334 0.4983  92.77  91.66  79.40  60.48 0.5241 0.5100 0.5061 107.47 108.19  98.91  83.50 
2002sum 0.4556 0.4283 0.4949  71.33  71.36  62.50  44.79 0.5256 0.5320 0.5589 109.43 107.69  95.94  84.93 
2002fal 0.5112 0.5057 0.5849  93.12  92.49  80.18  63.04 0.5118 0.4935 0.5104  97.07  98.30  89.75  75.48 
0203win 0.5600 0.5545 0.6013 101.26 100.67  89.98  67.01 0.4994 0.4676 0.4888  83.01  84.92  76.85  65.99 
2003spr 0.5385 0.5224 0.5759  84.38  84.88  75.09  56.01 0.4686 0.4563 0.4863 105.77 105.84  94.09  77.10 
2003sum 0.5087 0.5074 0.5576  65.17  64.48  57.87  40.71 0.5166 0.5127 0.5800 110.72 109.97  96.11  74.25 
2003fal 0.5378 0.5282 0.6134  95.62  94.98  80.60  62.75 0.4897 0.4708 0.5162  96.90  97.48  85.54  66.18 
0304win 0.5178 0.5247 0.5879 102.22  99.77  87.22  65.67 0.4441 0.4681 0.5021  89.98  86.55  78.34  58.94 
2000sum 0.2943 0.2751 0.3335  75.63  76.66  65.22  50.53 0.3431 0.3522 0.4015 126.85 127.64 104.28  99.95 
2000fal 0.3394 0.3625 0.4372 103.49 102.65  85.58  73.19 0.3023 0.3037 0.3643 111.27 110.25  88.35  87.69 
0001win 0.4309 0.4521 0.5369 107.12 105.83  87.75  74.02 0.3115 0.3016 0.3769 103.42 102.85  82.87  77.30 
2001spr 0.3344 0.3492 0.4399  99.39  97.99  81.51  64.20 0.3632 0.3816 0.4221 116.50 114.91  97.18  86.05 
2001sum 0.3743 0.3739 0.4536  73.46  73.42  63.77  45.03 0.3604 0.3588 0.3837 120.42 119.58 105.58  82.99 
